Speaker	Sentence
MW:	"Well she lived on this side of town,"""
MW:	"""too,"""
MW:	"""and it was easy for her to come,"""
MW:	"""but when she had to go on the other side of town,"""
MW:	"""you know,"""
MW:	somebody was having a baby?
MW:	"""Well she would probably walk,"""
MW:	"""Uh unless they would come and get her in the wagon,"""
MW:	"""at that earliest time,"""
MW:	but now later time the doctors come in you add one of them early cars you might know the name of.
R:	The Model T?
MW:	"Model T,"""
MW:	you got it.
R:	Okay.
R:	Do you remember what the day was like that your sister was born?
R:	This one?
R:	Uh-huh.
R:	She was born in October.
R:	It wasn’t cold.
R:	It was not cold.
R:	Was it early in the morning?
R:	Was it middle of the night?
R:	Was it middle of the day?
R:	I don’t know.
R:	Vearl was born and Howard was born at night.
R:	Oh.
R:	At night.
JW:	But I done forgot whether Juanita come in the morning or at night.
JW:	But I know them two boys.
R:	Uh-huh.
R:	My daughter was born nine twenty-two.
R:	I know.
R:	Nine twenty-two.
MW:	"Nine twenty-two,"""
MW:	November 12.
R:	You talking about your daughter over there.
R:	She has a smart daughter in uh in Miami.
R:	And she finishing that lawyer studies down there.
R:	And now she’s doing some of everything.
MW:	"Okay Well,"""
MW:	"""let me direct some of my questions toward you,"""
MW:	and just let you know that this interview is to be added to the oral history archives at the University of Florida.
MW:	"""We wanted to make sure that people everywhere can know about Taylor County and its history,"""
MW:	"""because believe it or not,"""
MW:	"""Taylor County is one of the places where people acknowledge that a lot of things happened,"""
MW:	but nobody has written about them and published them.
MW:	"""It’s not something that is um you know widely—people talk about Rosewood in 1920,"""
MW:	"""and people talk about Ocoee,"""
MW:	"""which happened afterwards,"""
MW:	but—
R:	Rosewood here.
R:	Do you have any written literature or anything anywhere?
R:	There is no written literature about Taylor County;
MW:	Oh
R:	very little.
R:	Very little.
MW:	Do I have written literature?
MW:	"""Yes,"""
MW:	I have my master’s thesis.
R:	"No,"""
R:	"""no,"""
R:	no I was talking about…um uh some literature for you to look at.
R:	"""Now there was something,"""
R:	"""Uh Pat Rozier was writing up,"""
R:	and I do have copies of that.
MW:	Pat Rozier?
MW:	Mmhm.
MW:	"""Pat Rozier was a student here at one time,"""
MW:	"""but she’s in Washington,"""
MW:	DC now.
R:	Okay 
R:	Well I’d be happy to hear about her as well.
R:	"""Let me provide some background,"""
R:	so when I listen to this later on I’ll know who I was speaking with.
R:	Would you please state your um your full name?
R:	Yes.
MW:	My full name is Juanita D Scott.
R:	And what does the D stand for?
R:	Delores.
MW:	and um When were you born?
MW:	"October 6,"""
MW:	1932
MW:	And we’re here in the home of your sister at um at 115 Elmo Street?
MW:	South Elmo Street?
MW:	Elmo Scott Street.
MW:	"Yeah,"""
MW:	that’s the name of my daddy.
R:	"Elmo Scott Avenue,"""
R:	Named after your father.
R:	That is our daddy
MW:	Yeah so have you always lived here?
MW:	She’s always lived on this street.
R:	Yes
R:	It was us that moved in from that storm-stricken area.
R:	When did you tell me it was in—?
R:	"1928,"""
R:	"""if it was the 1920s,"""
R:	if you were in the second grade.
MW:	"Storm tore up that house,"""
MW:	and they had brought us over there in that little three- room house.
MW:	Before he built.
MW:	And they was so glad.
MW:	And we went running in that house.
JW:	"Well there was another big storm in 35,"""
JW:	but maybe that didn’t come through here.
JW:	Or did it?
JW:	Yes it did.
MW:	Yes it did.
JW:	You were three years old.
LS:	Mmhm.
LS:	Do you remember that storm?
LS:	Not that much.
LS:	I remember seeing everything just… cleared away.
LS:	"""You know,"""
LS:	"""it just look clean out there,"""
LS:	like like someone had just cleaned everything.
LS:	But not that much.
LS:	"What is your earliest memories of your of your parents,"""
LS:	"""and living at home,"""
LS:	what was it like when you were very young with them?
MW:	What was it really like over there?
MW:	"Yeah,"""
MW:	do you have any memories come to mind?
MW:	"""You know Maybe you had a pet,"""
MW:	"""or maybe you had some chores,"""
MW:	"""or maybe a special day happened with you and your family your brothers and sisters,"""
MW:	what was it like from your your very young eyes to look at the world with your parents?
MW:	"A definite thing was to go to school and…just just go to school and… just go to school,"""
MW:	"""basically,"""
MW:	and go to whatever there was going on at the church or wherever you had to go.
MW:	"""And you had to obey,"""
MW:	I tell you that.
MW:	What else?
MW:	"""And You were vocalized in you going and we were not allowed to,"""
MW:	"""like,"""
MW:	"""roam around,"""
MW:	we had to do—in the backyard and share and play with each other.
MW:	"""Now it was thirteen,"""
MW:	so you didn’t get lonesome for anybody to play with.
R:	Did you have chores that you had to do?
JW:	Oh my!
MW:	"Like,"""
MW:	"""we had to go off to work,"""
MW:	"""and she was pitiful,"""
MW:	we left her with all these brothers!
MW:	She had a lot of work to do.
MW:	"""What did you like to cook,"""
MW:	peas and greens and things?
MW:	"""No,"""
MW:	"""if we pick ‘em and peel ‘em for her she would cook and eat ‘em,"""
MW:	but mama had her doing so much work.
MW:	"""I was gone,"""
MW:	and the other three girls she had.
JW:	So you—?
MW:	"Homework was very definite,"""
MW:	and my mother was ill.
MW:	She had ulcerated stomach.
MW:	And I remember one thing in particular.
MW:	"""I had—my girlfriends were out there,"""
MW:	"""and they were playing ball,"""
MW:	and I had to do the greens.
MW:	"""And my mother was ill,"""
MW:	"""and she was in the room,"""
MW:	"""right there,"""
MW:	next to the pump.
MW:	"""I had to pump water to wash these greens,"""
MW:	while the kids were out there playing ball.
MW:	"""So I said,"""
MW:	"""going in the house with those greens,"""
MW:	"""the one that eat the most greens,"""
MW:	eat the most grit!
MW:	"Juanita,"""
MW:	you didn’t wash it?
JW:	"I washed them two times,"""
JW:	"""but Gloria and Vearl and Alfonso and everybody was like,"""
JW:	"""“They’re playing ball,"""
JW:	""" and I wanted to play,"""
JW:	too!
JW:	"Boy,"""
JW:	if Mama had found that out.
M:	She found it out!
JW:	What did she say!
JW:	And from that day to this one— 
MW:	You wash the greens good?
MW:	"I have not washed,"""
MW:	"""I have not cooked,"""
MW:	any gritty greens.
MW:	"""Those greens were so gritty,"""
MW:	you could push the greens to the side in the pot and there’ll be dirt overthere.
MW:	And that dirt caused those greens to be gritty.
MW:	"""And actually,"""
MW:	"""when you would chew down on the green,"""
MW:	you would chew grit!
MW:	And I got a spanking.
MW:	"See,"""
MW:	that’s something that a kid today wouldn’t even know what that is.
MW:	"""When you say you got a spanking,"""
MW:	what do you mean?
MW:	What do I mean?
MW:	Mmhm.
JW:	"I mean,"""
JW:	my mother whipped me!
JW:	"""She got from sick,"""
JW:	"""disgusted about her dinner,"""
JW:	and actually whipped me.
MW:	So she found some energy.
JW:	She found some energy!
MW:	"Now was it with a switch,"""
MW:	"""or was it with a belt,"""
MW:	or do you remember?
JW:	"Yeah,"""
JW:	it was with a switch from outside.
MW:	Did you have to go get the switch?
MW:	"And guess what,"""
MW:	I had to go and get it.
MW:	You had to go get it.
MW:	"""My grandma used to make me go get the switch,"""
MW:	too.
R:	"Oh,"""
R:	she did?
MW:	Yes ma’am.
MW:	"""That was part of me,"""
MW:	you had to go get it.
MW:	And you better not bring back no little one either.
JS:	You had to go get it.
JS:	"""And believe it or not,"""
JS:	you better not run.
M:	"No,"""
M:	"""no,"""
M:	"""no,"""
M:	you couldn’t run!
LS:	"Oh,"""
LS:	boy.
LS:	So what other chores did you have besides the greens?
LS:	"Oh um,"""
LS:	there were many-many things to do.
LS:	"""You had to you had to make up the beds,"""
LS:	"""and sweep the floor,"""
LS:	"""and all these kinds of things,"""
LS:	because there was thirteen of us.
LS:	"""And there were one person,"""
LS:	"""my dad,"""
LS:	"""was working,"""
LS:	"""making saw mill salary,"""
LS:	and of course my mom was taking in washing and ironing.
M:	"When you say she was taking in washing and ironing,"""
M:	what do you mean?
R:	"I mean she was—um White people would bring their clothes to the house,"""
R:	"""and she would wash them on the rubber wood outside,"""
R:	and hang them outside.
R:	Then she would bring them in and iron them.
R:	"""Ans then Incidentally,"""
R:	"""she was ironing with the smoothing iron,"""
R:	and the ironing board was the fireplace.
R:	"So you're saying When you say a smoothing iron,"""
R:	"""you say it wasn’t electric,"""
R:	you didn’t plug it in.
R:	It wasn’t electric.
R:	"Okay,"""
R:	so she had to heat up the iron separately.
MW:	"She had to heat up the iron separately,"""
MW:	and the handle would be hot.
MW:	"""Then she had to use a separate bath cloth,"""
MW:	"""or whatever it was,"""
MW:	"""to hold this iron,"""
MW:	and to iron those people White shirts.
MW:	"Now why did She did that for extra money,"""
MW:	or…?
JW:	She did that for extra money.
R:	Mmhm.
R:	How many families did she take in washing and ironing for?
MW:	Several.
JW:	Mmhm.
JW:	And they were happy to have her do it?
MW:	They were happy to have her do it.
MW:	They would bring them back over and over.
MW:	"""and sometimes,"""
MW:	"""if uh if she needed to,"""
MW:	"""she would send my brothers with the red wagon,"""
MW:	"""about so big,"""
MW:	to go and get them.
JW:	"Okay,"""
JW:	"""so “so big,"""
JW:	 I’m saying that’s about… a foot and a half?
JW:	"No,"""
JW:	"""it was bigger than a foot and a half,"""
JW:	"""could be two,"""
JW:	"""two,"""
JW:	three inches.
JW:	"""When I say that I’m talking about a wagon ‘bout…three,"""
JW:	three foot.
JW:	Three foot wide.
JW:	Now how high off the floor are you showing me?
JW:	Just about that high.
MW:	"Okay,"""
MW:	so about—
JW:	"A wagon,"""
JW:	you’ve seen a wagon.
JW:	Like a little red wagon?
JW:	Little red wagon.
MW:	Okay.
MW:	"Only thing,"""
MW:	it was a big one!
JW:	Uh-huh.
JW:	"""So,"""
JW:	"""okay,"""
JW:	"""there were chores,"""
JW:	"""and your dad worked at the mill,"""
JW:	and your mom took in laundry.
JW:	What other kind of things happened around your house when you were growing up?
JW:	What what about Did relatives come over?
JW:	"""Did did um Did you have big dinners,"""
JW:	"""was there singing,"""
JW:	was there entertainment?
JW:	What kind of things did you do at your house?
JW:	We always had a piano.
JW:	"""And My brother Edward played for the church,"""
JW:	"""and my brother Howard—they’re dead now—played around at school,"""
JW:	and all those kind of things.
JW:	"""And incidentally,"""
JW:	I played for my church forever.
JW:	"Mhm So you learned how to play the piano,"""
JW:	and— 
JW:	"I did,"""
JW:	a little bit.
JW:	"And all-Most of your other brothers and sisters learned how to play,"""
JW:	too?
JW:	Or they all played some kind of instrument?
MW:	No.
MW:	"""Well,"""
MW:	my brother Howard played saxophone.
JW:	Okay.
R:	Mmhm.
R:	And That’s the only one that I believe played sax.
R:	"""Yeah,"""
R:	that’s the only one.
R:	Do you ever remember any trouble when you were growing up?
R:	"""You know Problems with some of the neighbors,"""
R:	"""or some of the kids,"""
R:	or things that were taking place that you all were you know unsure or scared about?
R:	"Um I think I told you initially that we didn’t get a lot of places without supervision,"""
R:	so there were less problems.
R:	"""My mother didn’t allow us to be over there and over there,"""
R:	unsupervised and roaming.
R:	You had to be where she knew where you were. You couldn't be
R:	"""If she let me go over to my friend’s house,"""
R:	"""I better be back home by the time that sun turns red looking over there,"""
R:	or I’m called a midnight rambler.
R:	"""So so we didn’t have a whole lot of…let’s call it,"""
R:	behavior problems.
R:	"""Nevertheless We were not angels,"""
R:	so to speak.
R:	"""We had minor stuff,"""
R:	but nothing nothin' big.
R:	"""We weren't-We weren’t jail freaks,"""
R:	because were in sorta in the backyard playing.
R:	"I think what I kind of meant was problems from the community,"""
R:	toward you and your family or toward other Black people.
R:	Were there you know problems that you remember from your childhood?
R:	"""You know things that happened that people knew,"""
R:	oh this was a bad thing and…
R:	Like?
MW:	"Well,"""
MW:	"""for example people would ask,"""
MW:	"""considering Taylor County,"""
MW:	"""things about Klan activity,"""
MW:	"""or maybe there would have been people that wanted some property or something that somebody else had,"""
MW:	and because they were a Black person they were kind of maybe—strongly persuaded to give up those interests for somebody else.
MW:	Do you recall any of those things kind of happening as you grew up in Taylor County?
JW:	"Now,"""
JW:	"""she would probably be best to answer that,"""
JW:	because I don’t remember.
JW:	"""I can remember when a Black person moves into a community,"""
JW:	that community you see signs going up on the other opposite race property for sale.
JW:	"""“For Sale,"""
JW:	 “For Sale.
JW:	""" And when you know anything,"""
JW:	"""the White folk just—I didn’t mean to even say their name—the opposite race,"""
JW:	they just gone.
JW:	They not there anymore.
JW:	"And you’ve seen that happen,"""
JW:	many times.
JW:	I’ve seen that happen!
JW:	"""It is happening,"""
JW:	"""now,"""
JW:	"""in the quarters,"""
JW:	"""where we call the “latest quarters,"""
JW:	""" where there is Alice Street,"""
JW:	"""and Sarah Street,"""
JW:	and all of those kind.
JW:	"""A few Black people moved in there,"""
JW:	and they still have empty houses over there.
JW:	"""And those opposite race people that just can’t afford to move are still in there,"""
JW:	but they are basically gone.
JW:	I’m talking about in reference to the French Quarters over there.
JW:	I know.
JW:	I know what they doing over there.
JW:	"Now,"""
JW:	"""she could probably tell you something about schools burning and all this kind of thing that we don’t,"""
JW:	I wouldn’t really know about.
JW:	"Okay,"""
JW:	we talked about school.
JW:	What are your earliest memories of going to school?
JW:	What’s the first school that you went to?
JW:	"Uh the first school that I went to was,"""
JW:	Jerkins High School.
R:	"Okay,"""
R:	and—
JW:	Jerkins was there when you went first time?
JW:	You didn’t go to the White building?
JW:	What is the name of the White man that gave us all this money?
R:	Carnegie?
JW:	"Rosenwald,"""
JW:	there was a Rosenwald schools.
R:	Rosenwald.
R:	But there’s another one.
R:	"""Rosenwald,"""
R:	I remember that.
R:	"""But here’s what happened,"""
R:	is I never went to school that the county bought.
R:	"""No,"""
R:	I never did.
R:	"""I always went in a church,"""
R:	in a little green schoolhouse with four rooms.
R:	They burned they burned it down.
R:	"""Well,"""
R:	we went a long time and didn’t have a school.
JW:	Who burned the school down?
R:	The same people that didn’t want us want us educated.
JW:	Okay.
JW:	Okay?
JW:	All right?
JW:	"""Then,"""
JW:	"""after that school was burned down,"""
JW:	"""we took a long time,"""
JW:	we went to school in Missus Seneca home.
JW:	"""We went to school in the Springhill Church,"""
JW:	"""Uh Sweet Home Church,"""
JW:	"""and Brooklyn Churches,"""
JW:	but we just didn’t keep one.
JW:	"""We couldn’t keep one,"""
JW:	they always got burned up.
JW:	"""Well,"""
JW:	"""when Professor Jerkins came,"""
JW:	"""he uh knew about this plan and who was giving Black people things,"""
JW:	but I don’t think this came from Rosenwald.
JW:	But I remember Rosenwald was a Black man’s friend.
JW:	"""Okay,"""
JW:	"""well,"""
JW:	he wrote in for them to give the children in Perry a school.
JW:	And they wrote back and told him they couldn’t give the children in Perry a school because he didn’t have a name for it.
JW:	"""The name was Perry Credit Schools,"""
JW:	and he wouldn’t give us a name for that school.
JW:	"""Well,"""
JW:	"""he wrote back,"""
JW:	and they did give him an opportunity to get him a name.
JW:	"""So,"""
JW:	"Lily Jones,"""
JW:	"""Sara Roundtree,"""
JW:	and Jessie Bowman.
JW:	And there was somebody else that was here—uh uh Johnny Belle Moore.
JW:	"""Well,"""
JW:	"""when they got together,"""
JW:	"""they all talked about this different characters and things like that,"""
JW:	"""where they concluded that Jerkins was the one causing it to come,"""
JW:	and it should be named Jerkins.
JW:	"And that’s the school that you went,"""
JW:	the Jerkins school?
JW:	"That’s the one,"""
MW:	yes.
MW:	Yes.
JW:	Now there’s a little bit of a difference in you all’s age.
JW:	"""You were older when your sister was born,"""
JW:	1919 and 1932.
MW:	"I told you I’d stand on the block washing dishes,"""
MW:	"""and cooking grits,"""
MW:	and frying bacon!
JW:	Uh-huh.
JW:	"""So,"""
JW:	"""what has your relationship been like as sisters,"""
JW:	with her being your older sister and—and you know you grew up a little bit differently because she was twelve or thirteen when you were born.
JW:	"""So what has that been like for you,"""
JW:	that relationship?
JW:	"Oh,"""
JW:	boy!
MW:	You all are laughing.
JW:	Huh?
MW:	"You all are laughing,"""
MW:	why are you laughing?
JW:	"Because when she fight me,"""
JW:	Mama whoop her!
MW:	"Well,"""
MW:	"""that’s true now,"""
MW:	that is true.
MW:	"""And getting now it’s two more of us,"""
MW:	"""and uh when our mother would go to town,"""
MW:	"""of course she was in charge,"""
MW:	okay?
JW:	Okay.
MW:	"And uh the girls now—it wasn’t me,"""
MW:	I didn’t do that—felt like they was going to get a beating anyway.
MW:	"""So they would—and they couldn’t call her a dog,"""
MW:	they called her a peanut stew.
MW:	"""And uh and uh she might decide to tell Mama when they got the stool on there that they call her that they call her a fool and then they'll get a beating so so they gonna so they figured out Well imma get a beating anyway , so I'm gonna I'm gonna do what I-say what I need to say """
MW:	Well Corinne you know what kinda pennies you know you might have been too young to remember all of this but it was a white kinda pen. Corrine when I played one day and she decided that to touch the bed and put a print on there she decided to put a lot of prints on there
JW:	"And You remember this,"""
JW:	too?
MW:	"No,"""
MW:	she didn’t remember that.
MW:	I don’t remember that one.
MW:	okay.
JW:	"Penny,"""
JW:	poor penny.
JW:	"""I said,"""
JW:	Momma got me that time!
JW:	"""She told me,"""
JW:	“You had no business letting that baby do that.
JW:	""" And Boy,"""
JW:	"""she,"""
JW:	"""I done forgot whether she put that switch on me or not,"""
JW:	but she frosted me some about letting that baby do that.
JW:	"""And after that,"""
JW:	them babies didn’t do too much wrong around here.
JW:	"Well,"""
JW:	you all are so close today that you came over to see what she was doing.
MW:	We’re grown enough to know better.
JW:	"I am Now,"""
JW:	"""if I had not known you were coming here,"""
JW:	"""I would’ve called her and asked her,"""
JW:	“Who that down in your house?
MW:	Because you saw the truck in front?
JW:	I saw the truck in the front.
JW:	"""You see,"""
JW:	she is ninety years old and I live right down the street.
JW:	"""And I have to know who’s here,"""
JW:	if I don’t know who they are.
JW:	"""you know,"""
JW:	I live where I can just walk out the door and see if her car is out there.
JW:	"And I had a different car last time,"""
JW:	because I came in my rental car.
JW:	"""Oh,"""
JW:	I did ask her!
JW:	I did ask her.
MW:	"Say,"""
MW:	“Who is that down to your house?
JW:	"Yeah,"""
JW:	I did ask her.
JW:	Mmhm!
JW:	"Sure did,"""
JW:	"""but basically our relationship,"""
JW:	it gets kind of rocky sometimes when she doesn’t really see what I’m talking about.
JW:	"""But uh it’s it's basically good,"""
JW:	"""and I follow her to the doctor,"""
JW:	"""and keep up with appointments,"""
JW:	"""and help her remember,"""
JW:	and my-my calendar that I carry in my pocket is filled with everybody’s appointments.
JW:	"""And the reason I didn’t come straight here,"""
JW:	"""when she called me,"""
JW:	"""I was making an appointment for another sister,"""
JW:	the other one that’s eighty-six.
JW:	"""She had an appointment next Thursday,"""
JW:	and I had to do that before I left to come here.
JW:	"""And I got another sister around there,"""
JW:	"""the corner over there,"""
JW:	"""that’s that's uh got some hip troubles,"""
JW:	and she’s walking at this time with a walker.
JW:	"""So you see,"""
JW:	I’m filled with stuff to do.
JW:	And everybody’s appointment is in my book.
JW:	And she didn’t make an appointment with the nerve doctor until she saw what was in my book.
JW:	"""So I knew what was in my book,"""
JW:	"""so I made the appointment,"""
MW:	5 appointment to be with her with her four o’clock appointment.
MW:	Now that’s how we do.
JW:	We work together.
MW:	I am—
JW:	"Sometimes she sassing me,"""
JW:	and I don’t think she should be sassing me.
JW:	But she’s good.
JW:	"""I’m sorry I don’t have that write-up on the school,"""
JW:	but I’ll send it to you.
JW:	"Oh,"""
JW:	that’s quite all right.
MW:	"It’s over there in that box,"""
MW:	the one that was published about how the school system got started.
JW:	"Well,"""
JW:	I just told him I had about three books at my house.
JW:	What kind of books?
JW:	"""I beat my books to death,"""
JW:	though.
MW:	"Well,"""
MW:	this the only one I have left here.
MW:	I’m saying to him that I have some stuff that I think you can use.
JW:	"Oh,"""
JW:	really?
JW:	"""Well thank you,"""
JW:	I’d be happy to look at it.
MW:	"This book here was fixed in my honor,"""
MW:	And in 1960 at the Jerkins High School.
MW:	"That’s a 1960 yearbook from Jerkins High School in Perry,"""
MW:	Florida.
JS:	That’s right.
JS:	"""Well I had all of them,"""
JS:	"""just like she had,"""
JS:	but my daughter lived in Boston so she decided to get them up and take them with her.
JS:	"""Now what I need,"""
JS:	to go back to that house and look in there and find them and bring them back.
JS:	It might be best to let them have ‘em.
JS:	Why don’t you just get them scanned?
JS:	They wouldn’t be of any interest to them unless they were history grabbers.
MW:	"Yeah,"""
MW:	well that’s my picture and everything.
JS:	This is you?
JS:	That’s me.
JS:	I was younger then.
MW:	That you?
MW:	I thought that was Miss— 
MW:	That’s my picture.
JW:	"Oh,"""
MW:	okay.
MW:	Laura Scott Reaves.
JW:	The reason that I came to—
MW:	That’s the way I looked in 1960.
JW:	"Oh,"""
JW:	okay.
MW:	"I met Christine Baines Holmes,"""
MW:	"""and she told me she was her teacher,"""
MW:	so that’s how I ended up coming over here.
JW:	Christine?
MW:	Christine Holmes?
MW:	Live over by Brooklyn Church.
MW:	It’s not too far from—
MW:	"It’s right at the intersection of 98 and 27,"""
MW:	and there’s a church across the street?
MW:	"Yes,"""
MW:	that’s Brooklyn Church.
MW:	"I was driving to Tallahassee one day,"""
MW:	"""and I just looked to my right,"""
MW:	and I just saw her going into her house and she reminded me of my grandmother.
MW:	"""And Something made me go around the corner and come back and I talked to the ladies at the beauty parlor down the street and they told me,"""
MW:	"""oh yes she knows a lot about the history,"""
MW:	"""and she likes to talk,"""
MW:	because I didn’t just want to show up at someone’s home.
MW:	"""And then she let me speak to her,"""
MW:	"""and she told me about you,"""
MW:	and that’s how I ended up—
MW:	Yeah you told me about the people sending you over.
JW:	"It’s actually very interesting,"""
JW:	because I was on Calhoun Street over there.
JW:	This was my principal at that time.
JW:	He’s gone.
JW:	This is—
JW:	"""This is the assistant principal,"""
JW:	he’s gone.
MW:	Reverend Warner?
MW:	Pardon—
MW:	Ed Warner.
MW:	Principal Warner.
JW:	This was Calhoun.
MW:	Yes.
MW:	"and uh We own this property right here,"""
MW:	"""that over there,"""
MW:	"""that right—matter of fact,"""
MW:	"""that whole block right there,"""
MW:	"""and I own half of the other block,"""
MW:	and the other block down there.
JW:	To the North and to the East?
JW:	Yeah.
JW:	"""The family owns half of that,"""
JW:	"""so we justified that,"""
JW:	and the street was named Elmo Scott Street.
MW:	"So this was all land that originally was owned by your grandfather,"""
MW:	Reverend Braxton?
JW:	Blair and Hinely.
JW:	No?
JW:	"Blair and Hinely,"""
JW:	only.
MW:	Blan—?
MW:	Blair and Hinely.
MW:	That’s a—
JW:	That’s the name of the subdivision.
JW:	Mmhm.
JW:	Okay.
JW:	"And then my granddaddy owned some land on Main Street,"""
JW:	"""my daddy’s daddy,"""
JW:	"""and my grandmother down at the dead end of this street,"""
JW:	owned some more land.
JW:	My mama’s mother had Braxton.
JW:	Well you know you would go around remembering all those names.
JW:	"""I told him,"""
JW:	"""when he come back,"""
JW:	he telling them to me.
JW:	"Well you told me about your momma’s daddy,"""
JW:	but I didn’t hear about your daddy’s daddy.
JW:	What was his name?
JW:	Harry Scott.
JW:	Harry Scott.
JW:	He lived on Main Street— 
JW:	He lived on Harry Scott.
JW:	"""He lived about a block—no,"""
JW:	on the next block over.
MW:	Mmhm.
MW:	"""Well,"""
MW:	I remember you told me.
MW:	"His house is there,"""
MW:	old.
MW:	We need somebody to fix it.
MW:	"""But like my sister said,"""
MW:	it’s too old.
MW:	Is it still owned by your family?
MW:	Mmhm.
JW:	In other words I went in there trying my best to find that other-them other two certificates you got there.
MW:	Mmhm.
MW:	But I didn’t find them.
MW:	I found…I think this just a grade sheet.
JW:	Do you want me to go?
JW:	I live just across the highway there.
JW:	Do you want me to go and get what I’m talking about?
JW:	"If it’s convenient for you that would be very nice—I don’t want to put you out with anything,"""
JW:	"""I’d be happy to come with you,"""
JW:	"""or you can bring it back,"""
JW:	"""or we can wait ‘til the end,"""
JW:	or whatever is convenient for you.
JW:	Okay.
JW:	"""Okay Now,"""
JW:	where were we?
JW:	I need to…
JW:	"We talked about your education at Jerkins,"""
JW:	"""is where we were,"""
JW:	and then some information came out Jerkins.
JW:	"These is,"""
JW:	I found another certificate I had in there.
JW:	Uh-huh.
MW:	"Juanita,"""
MW:	I didn’t know I had this one here.
JW:	That looks like a diploma.
JW:	This is um a certificate for the Adult Education and Vocational.
JW:	Mmhm.
JW:	"I remembering doing the work,"""
JW:	"""but who writing up about me,"""
JW:	I forgot about it.
JW:	1963?
R:	"The State Department of Education,"""
R:	adult education.
R:	It’s marvelous that you have all of these.
R:	You should have them mounted and preserved.
JW:	Well…
MW:	"You’ve done a very good job with them,"""
MW:	to keep them.
MW:	Mine is in mine is in my fireproof box.
MW:	That’s where they are!
MW:	"Oh okay, That’s a good place for them."""
MW:	But you know you see how this paper has turned yellow- brown over the years.
MW:	"""You know,"""
MW:	air will get to it and change them unless you preserve them.
MW:	"""I have a lot of World War II documents from my mother’s grandfather in North Carolina,"""
MW:	"""and I’ve begun to preserve those documents for the family,"""
MW:	"""because they just kind of laying around everywhere—in boxes,"""
MW:	"""and out in barns,"""
MW:	and stuff.
MW:	It just takes time to do all this stuff.
JW:	This is a list was sent from the school in St.
JW:	"""Augustine to A&M,"""
JW:	I think.
MW:	"Okay,"""
MW:	this is your transcript.
R:	Yeah.
R:	"""From that one school,"""
R:	"""but the one with A&M on it,"""
R:	that’s the one I wanted.
R:	But I told you that every school I went to was listed on there.
R:	Well you took a lot of classes!
R:	You were a good student.
R:	I don’t see any bad grades on here.
R:	"Well,"""
R:	"""I didn’t I didn't ever make any—the worst grade I made was from the University of Florida,"""
R:	was that C-minus.
R:	In Sociology?
MW:	That’s right.
R:	Mmhm.
R:	"But that other one,"""
R:	I failed.
R:	That economics.
R:	And I’m still failing economics!
R:	I don’t know these people and all these banks and stuff.
R:	I might need a course in accounting.
R:	We took many of the same courses.
R:	"""You have Methods of Social Studies,"""
R:	"""Educational Psychology,"""
R:	"""US History,"""
R:	"""General Psychology,"""
R:	Composition.
R:	I did take every one of them.
R:	"I took all those classes,"""
R:	too.
R:	Penmanship.
R:	"You know I saw some man’s fancy penmanship,"""
R:	"""and Juanita,"""
R:	"""yesterday,"""
R:	it was so pretty!
R:	That boy know he could write!
