speaker	text	nullCopula	personNumberAgreement	multipleNegators	existentialItDEY	perfectDone	remotePastBIN	habitualBe
H:	Later on, I learned that we did it, but we didn't have permission to do it.							
H:	And next year I think Lincoln High School was invited to march in the parade.							
W:	What year was that?							
H:	1957.							
W:	So you guys marched—							
H:	And I remember that because I was in the fourth grade.							
W:	Okay.							
W:	So you marched in the Homecoming parade?							
H:	Mmhm.							
W:	And you weren't, you didn't find out until afterwards that you weren't allowed to do that?							
H:	Yeah, that she actually did that without permission.							
W:	Wow!							
W:	That takes some guts.							
W:	That's pretty impressive, though.							
W:	Because then the next year, the Lincoln band was invited.							
H:	And we marched the next year.							
W:	So you were in band while you were at Lincoln, too?							
H:	Yeah.							
W:	And what was that like?							
H:	Being in the band?							
H:	It was an honor to be in the band, because you learned music.							
H:	Most people that was in the band started band when they were in the sixth grade, maybe.							
H:	During the summer, probably leaving the sixth grade.							
H:	At least, I was leaving the sixth grade.							
H:	And I started playing the clarinet.							
H:	And I actually make the band until I was in the eighth grade.							
H:	That seventh grade year, I didn't know enough to be in the band, as far as music was concerned, and being able to play the clarinet.							
H:	It took me about a year to actually really learn it, you know, that I could be put in the band.							
H:	And at the time, we didn't have a junior high band or a senior high band, it was just band.							
H:	So you was in the band, and you might have been sitting next to a senior.							
H:	Which gave you an incentive for wanting to actually master your instrument.							
H:	At least that's the way I felt about the instrument.							
W:	So you played the clarinet all the way through?							
H:	Mmhm.							
H:	I went off to college and majored in music, and the clarinet was my major instrument, with a concentration in woodwind instruments.							
W:	Where did you go to college?							
H:	North Carolina A&T State University, in Greensboro.							
W:	Were you, that was after—were you there during the sit-ins?							
H:	No, the sit-ins had taken place when I went there.							
H:	As a matter of fact, the sit-ins took place in 1961, and 61 I was in high school.							
H:	But I knew of it by the news media and stuff like that.							
H:	Then when I got to college, I met some of the guys, couple of the guys, that, you know, when they would come back to talk about that ice breaking thing.							
H:	Sitting in.							
H:	No, I wasn't a part of that.							
H:	I was a part of the student protesting era in 1969 in Greensboro when a lot of the state schools were receiving money, and A&T did not get the money that we thought that they should have got.							
H:	So, I was part of that movement that went to Raleigh and protested.							
H:	There was a riot that started in Greensboro at the time, it was a lot of things, a lot of grievances we had, with the state, that had not been made and we protested.							
W:	Were you involved with SNCC?							
H:	SNCC?							
W:	Student Non-Violent Coordinating Committee?							
W:	Or just, was that just a general—?							
H:	Well, Student Non-Violent—well, I wasn't affiliated with SNCC at the time, because I was one of those that felt that a lot of the battle could be won with, not so much to say violence, but being radical.							
H:	A lot of my friends were people of SOBU, which is Student Organization for Black Unity; ' YOBU, which was Youth Organization for Black Unity; and backed by the Black Panther Party.							
H:	And at the time, the Black Panther Party that had that type of—well it was two ideologies of the Black Panther in Greensboro at that time.							
H:	There was some non-violent and the violent, and I would say that I stood more on the no of non-violence.							
W:	More peaceful protests.							
H:	Peaceful protests.							
W:	Yeah.							
W:	Did you guys protest businesses, or—?							
H:	Well, we protested businesses; anything that stood in the way of equality.							
H:	You know, we wasn't—at the time, we weren't so much fighting for integration.							
H:	At the time, we were just fighting for equality, and being treated equal, and having equal rights.							
H:	That's what we were about.							
H:	These are things that, my support or involvement of things was so much of being treated equal.							
H:	When you're treated equal, you're treated as a human.							
H:	When you're treated otherwise, you not treated as a human.							
H:	So, that's where I stood.							
W:	What were your thoughts when integration happened, and schools were desegregated, and Lincoln was closed?							
H:	I feel when Lincoln was closed, it was very unfair to us as a race of Black people here in Alachua County, even though I had graduated and was away.							
H:	The same thing was happening all over the South.							
H:	And I felt that it was wrong to do that, close off the schools.							
H:	And then I thought about Lincoln at that time: Lincoln was re-evaluated in 1965, and it was, I think, one of two accredited schools in the state,							
H:	okay?							
H:	And at the time it was closed, two—I'll put it like this: GHS was not an accredited school at the time Lincoln was closed.							
H:	I felt like that was very wrong to do to get integration, or to enforce integration.							
H:	I felt the federal government did not really sit down and investigate things, and look at both sides of the track, in order to make the decision that it made.							
H:	Why close a school that is fully equipped and send them to a school that's not even accredited?							
H:	It didn't make sense.							
H:	And even today, if that was to happen, I would say that don't make sense.							
H:	Lincoln had a vocation department, academic pre-collegiate; it was just a good school.							
H:	They had qualified teachers.							
H:	You had teachers there with Masters and that kind of thing like that, and it was just very unfair to close that school.							
H:	It would've been so simple to say, "Well, we'll treat you equal," more so than to close it.							
H:	Those people that wanted to go to Gainesville High School, they integrated Gainesville High School: thank you.							
H:	But we wasn't asking—as a whole—we wasn't asking for integration.							
H:	We was asking for equality.							
W:	I wanted to go back to the books.							
W:	You said that when you guys, when you got the school textbooks that there was stuff written in there for you?							
H:	Yeah, it would be like— "To the nigger that gets this book: I hope you have the intelligence to comprehend what's in this book.							
H:	" You know, little negative messages that you had in the books, because they knew that the books would be passed down to us.							
W:	And there was no attempt to make, to get rid of that stuff in the books, like cross it out, before they were given to students?							
H:	No.							
W:	No.							
W:	That certainly makes learning a little challenging, I would imagine.							
H:	Yeah, it's a hard pill to swallow.							
W:	Yes, I can imagine.							
W:	Were you involved in any sports in school?							
H:	No, I wasn't an athletic—I was an athletic type person, too.							
H:	Most of my sports were just intramural because my grandmother didn't, would never sign for me to play sports, like go out for the football team, go out for the basketball team.							
H:	Back then parents had to have that, you had to have the parents' permission.							
H:	My grandmother never wanted me to do those things for some reason.							
W:	So you stuck with band?							
H:	Stuck with band and other organizations							
W:	What other extracurricular activities did you have?							
H:	I was in the organizations like Future Business Leaders of America.							
H:	I always did like the agriculture part of things, so I was in Farmers of America, which, to me, was a good organization to be a member of.							
H:	Even today, my Ag instructor, I go by to see him.							
H:	Yeah.							
W:	So when you went off to North Carolina A&T, and you studied music, was that your major?							
W:	And then, what did you do after graduation?							
H:	Well I didn't graduate.							
H:	I came up short of hours, and my family had run out of money.							
H:	And I chose not to go back the next year, to start working.							
H:	And I didn't work in education, I worked with Western Union International, teletype, it was— Western Union Communication Systems.							
H:	I worked with them for a number of years.							
H:	And then, I started working in daycare.							
H:	My next job was United Daycare.							
H:	I actually didn't start working in the education field until I moved to Winston-Salem, and I worked at North Carolina School of the Arts in a foundation and a lot of production homes.							
H:	Just to connect with the fine arts.							
H:	And when I moved to Florida, I started working with the school system here.							
W:	When did you move back to Florida?							
H:	I moved back to Florida in the year of 1995.							
W:	95.							
W:	And so, are you still working with the school system, or—?							
H:	No, I don't work with the school system anymore.							
H:	I work with the Star Christian Academy, which is a private school, as fine arts director.							
H:	And I do a lot of community work where people pay for some of my services in the area of discipline, and that might be through schools.							
H:	Florida Smart Kids, which is a contract through the Alachua County system, school board.							
H:	I do that.							
H:	Basically, that's what I do in the area of education.							
H:	I teach music theory and the art of performing at Star Christian Academy.							
W:	Do you ever wish you went back to finish college?							
H:	In the process of doing that now.							
W:	Are you?							
W:	And how much longer until you get your degree?							
H:	Maybe a year.							
W:	A year.							
W:	I'm taking the same path.							
W:	I came back after twelve years to finish my degree at University of Florida.							
W:	I'm done in two weeks.							
W:	So, what do you like to do in your spare time these days?							
H:	In my spare time, I'm my mother's caregiver.							
H:	So this is set up as though it's a convalescent environment, and I to see to that this operate as that, in order that she might be able to stay here.							
H:	And like I said, I get community-involved: I got the drill teams, I got three chapters are here, and that keeps me real busy.							
H:	We travel.							
H:	They get a chance to attend behavior workshops or seminars.							
H:	Directing behavior and growth in children.							
W:	The Flossie McLendon Drill Team, was that associated with Lincoln High School?							
H:	No, it started as a after school activity at Lincoln Elementary School.							
H:	See, Lincoln Elementary School—well, Lincoln itself went from the first through the twelfth grade, before it became new Lincoln on the other side of town.							
H:	But when it was located on the northwest side of town, back in the 50s, it was Lincoln Elementary School.							
H:	It was Lincoln High School, but the elementary and the high school were combined.							
H:	And the Flossie McLendon organization started in 53 as an afterschool activity for young people.							
W:	And so, people, kids of all ages were involved in the drill team?							
H:	Well, elementary school kids.							
W:	And has that been in—has it continued?							
H:	No, in 1983, from what I understand, she died.							
H:	And of course, when she died, I was not in town because when I left in 65, I was gone for thirty years,							
H:	okay?							
H:	When I came back in 95, I found out that—I went to a Gators parade, and I didn't see the Flossie McLendon Drill Team, and nothing connected to it.							
H:	So I figured, like, something was wrong with this picture.							
H:	It's something that should be there, because of its history.							
H:	I began to ask different people questions, and they were like, "Well you know, she died in 83, and nobody took it up."							
H:	"Well, why didn't they take it up?"							
H:	And, "Well, nobody never took it up.							
H:	" I had contacted people that as in it during the time that I was there.							
H:	So, I rebirthed it.							
W:	Okay.							
H:	So they didn't, they had let it resolve, and I remember that when she organized it, it was to help kids learn how to respect: how to give respect as well as receive respect.							
H:	And then, there were a lot of kids that didn't believe in themselves, and she would take her time during this time after school to try to help mold those people into people that would believe in themselves, that they could do things.							
H:	Sometimes, you know, we don't get that motivation from home, so we feel like when we get in a mass, a big mass of people, that we're not equal.							
H:	We can't do what the next man can do.							
H:	So what Ms. McLendon really tried to instill in us was believing in yourself, and that you can do anything that you set your mind to doing.							
H:	And when you told her, "I can't do this, and I can't do that," she didn't ever want to hear stuff like that.							
H:	She always wanted to see you put forth an effort to do, even if you didn't do it the best like someone else who would have done it.							
H:	At least you would have tried.							
H:	So, I felt like that was very much still needed in people.							
H:	People didn't change.							
H:	You know, it's just that people got older.							
H:	But people can.							
H:	And that was a dream, that was a legacy, that was never to die—or, should never die.							
H:	And I feel like if something should happen to me, that somebody should pick it up and carry it on.							
H:	The Flossie McLendon Drill Team goes to FAMU to march in A&M's homecoming parade; they go to Daytona, march in Bethune-Cookman's parade; Jacksonville to march in Edward Waters College parade; the Martin Luther King parade, we've done the march here during King week.							
H:	We try to do all the Christmas parades; our kids like to be in Christmas parades, for some reason.							
H:	It's an exciting parade.							
H:	They probably want to be in that.							
H:	I thought they more excited to be in the Christmas parade than they do about being in the Gators parade; I've never been able to understand that.							
H:	I was like, "Oh, wow!							
H:	Okay.							
H:	" But you know, it's what they like.							
H:	They get a chance to be in most all of the local parades of different kinds in this area and across the state that we could travel to, that financing would allow us to go to.							
H:	And we do opening ceremonies with the color guards at different functions and churches throughout the city.							
H:	For example, we done it for the NAACP banquet, the Ebony Appreciation Awards program.							
H:	We've done it for the Martin Luther King Youth Summit here.							
H:	We done opening night of the youth summit during Martin Luther King's celebration week.							
H:	We've just been active over the community.							
W:	Definitely.							
W:	That's kids of all ages still?							
H:	Kids of all ages.							
H:	They start at the age—I have tried four-year-olds, and been successful with four-year-olds.							
H:	Parents say, "Well I want my child to be in it, but he's only four."							
H:	So I started, "Okay, well, bring them.							
H:	" They let them run around until they get all of their little running out them, and then they'll stop.							
H:	And then they'll focus in on what the older boys are doing.							
W:	And that's the drill team?							
W:	Is there a band associated with that, too, or is it—?							
H:	No band, no band.							
H:	It's just like a ROTC							
H:	It's like a ROTC We have a drill sergeant.							
H:	Sometimes I'm the drill sergeant, and sometimes it's young men that's recently gotten out of Service, that, it's still a part of them, you know.							
H:	They'll come out and teach them cadences, and little drill marches, and things like that.							
H:	We've become a favorite in a lot of the parades that we be in.							
H:	Seems as though now the alumni section of the Gators parade where most of those alumni are sitting around the entrance, they wait for them to come out.							
H:	And we do a special salute to them, and they respond to it in positive, light way.							
H:	It's not like it was years ago.							
H:	And I tell the kids, "Oh, they treat you nice!							
H:	When I was there, they didn't treat me nice!"							
W:	So, what year was it that it started back up?							
H:	In the year of, must have been about 99.							
W:	99?							
W:	And you were, are you, so you're still involved?							
W:	Are you running—?							
H:	Commander.							
W:	You're the commander, ok.							
H:	I'm the commander of the drill team.							
W:	That's really cool.							
W:	So, back to Lincoln High School, did you have any favorite— aside from music, any favorite classes, subjects?							
W:	You said that you learned more than just school stuff.							
H:	If I had a favorite class, it would have been music.							
H:	And my second choice would have been English.							
H:	Because English at Lincoln at the time was, how can I describe that?							
H:	You did a lot of reciting.							
H:	Like, an oratorical contest; the English teachers were the ones that manipulated those kind of activities.							
H:	And I enjoyed being in the oratorical contests and stuff like that.							
H:	My second choice was, in senior high school, I liked the business courses.							
H:	Music was always before everything else, though.							
W:	Music number one.							
H:	I liked classical music, if there is such.							
H:	Music doesn't have a classical period.							
H:	It's only the Romantic, the Baroque and Contemporary.							
H:	That's what the music—we say classical music, but when we say that, we're really referring to the Romantic period and the Baroque period of music.							
W:	Do you have a favorite composer?							
H:	Chopin!							
W:	Chopin?							
H:	Frédéric Chopin.							
W:	Do you still play the clarinet?							
H:	Mmhm.							
W:	Did you pick up any other instruments?							
H:	Did I pick up any instruments?							
W:	Did you play any other instruments?							
H:	I can play practically all of the other woodwind instruments.							
H:	But I can play a lot of the brass.							
H:	But I learned to play just enough to be able to teach someone, but to say that I'm a trumpeteer or something like that?							
H:	No.							
H:	But I can take a trumpet and give demonstrations on it, if I had a band that I was teaching one to play an instrument.							
H:	And my knowledge of all the instruments is up to par except strings.							
H:	I'm just not a string person, just not a string person.							
H:	You know, I could, the violin, my nerves couldn't take it.							
H:	So, I didn't give that kind of a concentration on strings.							
W:	Did you ever perform in an orchestra?							
H:	Oh, yes.							
W:	Yes?							
W:	In college?							
H:	Mmhm.							
W:	Did you go—							
H:	In high school, at Lincoln, which, Lincoln had a superior-rating band.							
H:	At the time that I was at Lincoln, they used to have the state band festival.							
H:	Lincoln was always a superior-rating band in marching, concert, and sight reading.							
H:	It was always an honor to just to be a part of Lincoln band at the state festival, because you got a lot of recognition and looked up to from a lot of other schools.							
H:	As a matter of fact, in 1965, Lincoln did not make it—you had to qualify for the state; Lincoln did not make the state band festival.							
H:	Because the year before that, we had lost so many seniors, and we was in a rebuilding year.							
H:	Which was unfortunate for my senior year, but we didn't make the state festival, and it was the last band in the state of Florida not to make the state festival.							
H:	Of course, at the time that, that was segregation.							
H:	All of the Black schools participated that had bands, and it was an honor to be in Lincoln band.							
H:	Because everyone knew it was an outstandingly good band.							
H:	And the concert was, oh, it was just something else!							
H:	It was tremendously good.							
H:	The band director that we had, Jerry C Miller, he was a graduate of Florida A&M And Jerry was—from what I understand, Jerry was really a math teacher that felt that the school needed a band, and started the band.							
H:	Because he was in the band at A&M							
H:	But then, he went back over the years, got a degree in music.							
H:	But he had a tremendously good band, both marching and concert.							
W:	Did the band perform at football games?							
H:	At all football games, especially all home games.							
H:	Halftime shows.							
W:	Who was Lincoln's big rival?							
W:	Was there a rival high school in Gainesville?							
H:	If we had a rivalry, our local rivalry was A L Mebane out of Alachua.							
H:	And I guess that's because it was the closest to us.							
H:	But then, across the state it was a very envied school, because it always had that Lincoln High School ring across the state with the other schools.							
H:	Everyone wanted to beat Lincoln.							
H:	You know, competition was always strong to play Lincoln High School out of Gainesville.							
H:	Why?							
H:	I don't know.							
W:	People respected Lincoln, I think.							
H:	Yeah, they respected Lincoln.							
W:	And were you in the band at North Carolina A&T?							
H:	Oh,							
H:	yeah.							
W:	So you did the football games there, too?							
H:	I marched with the—my band was the Mean Machine.							
H:	And I marched the A&T's Mean Machine, the Aggies' Mean Machine.							
H:	And I was in concert, and the orchestra.							
H:	And I played solo in the orchestra, and I played first clarinet in the concert band.							
H:	And to be in the Aggie band, that's the pride of the school.							
H:	So, you know, felt good about being in A&T's band.							
H:	And the thing about it is that Lincoln had equipped me so well for the band, for music, it was nothing to pass the audition.							
H:	But I saw people suffering through it.							
H:	To me, it was nothing.							
W:	So, Lincoln prepared you.							
H:	Lincoln prepared me.							
H:	Jerry Miller prepared me, you know, as a musician.							
H:	His requirement was, everybody had the same requirement, whether you wanted to major in music or not.							
H:	That was just the way, the type of band director he was.							
H:	At Lincoln, you wasn't in the band and that was the only thing you did.							
H:	You had to take music appreciation.							
H:	You had to take music theory, you know.							
H:	That's why the band was an outstandingly good band in concert, because you knew the theory of music.							
W:	More than just playing an instrument.							
H:	More than just playing an instrument.							
W:	Did you, when you were in the band, and traveling to—I assume you guys traveled to various football games—did you encounter any people who weren't fans of you?							
H:	Where we never had those type of rivalries where people wanted to fight us and stuff like that, no.							
H:	It was always that they wanted to see our band.							
H:	If the crowd was, let's say, in a big uproar, stuff like that, the minute Lincoln band hit the field, it got attention.							
W:	Everybody stopped what they were doing and focused on the band?							
H:	Focused on the band.							
W:	So, after college, you went to work.							
W:	Did you ever marry?							
H:	No, I'm a single dad.							
W:	Do you have, how many kids?							
H:	One, one son.							
W:	One son.							
W:	How old is he?							
H:	My son is forty-two, forty-three.							
W:	And where does he live?							
H:	Orlando.							
W:	Orlando.							
H:	Mmhm.							
H:	He went to Central Florida.							
W:	So what was it like being a single father?							
H:	Well I enjoyed being a single father.							
H:	I didn't meet the responsibilities until he was maybe eight or nine years old, as far as being responsible for him and his livelihood.							
H:	And I enjoyed it, you know, sharing my life with him.							
H:	We struggled together, but we made it.							
H:	And he's a very positive guy, very intelligent							
H:	and it's lot of people say he's a genius in his world, of the computers.							
H:	That was what he liked.							
H:	I never tried to put music on him in any kind of way like that, even though he appreciates, I can tell he appreciates music, because he does a lot of things by music.							
W:	What's his name?							
H:	His name is Bernard, Jr.							
W:	Okay.							
W:	And does he have any kids?							
H:	No.							
W:	No grandkids.							
H:	No grandkids.							
W:	So when you moved back to Gainesville in 95 after being gone for thirty years, how had the city changed?							
W:	Did you notice lots of changes, good, bad?							
H:	As far as environmental is concerned, I guess it changed like any other city.							
H:	Things go up, buildings go up, buildings come down.							
H:	As far as people are concerned, it's basically the same.							
H:	It didn't make that many changes.							
H:	And the things that people like to do.							
H:	I'm used to bigger cities, and it sometimes it cramps my style when it comes to the entertainment world, even though there are a lot of things that do come through here that I enjoy.							
H:	I say that's me.							
H:	Plays and productions.							
H:	I feel like it could be more.							
H:	It could be more.							
H:	I try to live here as though I was living in North Carolina.							
H:	And Winston-Salem, I lived in Winston- Salem for a number of years, which is the center for the arts in the South; and the Stevens Center is there.							
H:	So when things come here, that I could enjoy, I feel like I'm at the Stevens Center.							
H:	I just do the same things here that I did up there when it's available here.							
H:	Sometimes it's just not available here.							
W:	Is that associated with Wake Forest?							
H:	The Stevens Center?							
H:	Somewhat.							
W:	Somewhat.							
H:	Mmhm, somewhat.							
H:	And then you got people that live there like Maya Angelou, and Leon Hamlin, which is deceased now.							
H:	He started the Black Arts Festival that comes there; that's Oprah Winfrey, Denzel Washington, all of them, that's their festival.							
H:	And they had it there one year and then the odd year, they have it in Atlanta.							
H:	And I'm used to going to that.							
H:	And I don't get a chance to go to it now because of the distance, but it's a good theater arts festival.							
H:	And I wish that people in this area, especially the African Americans that's in fine arts, could get involved with the Black Arts Theater Festival.							
H:	They would learn a lot.							
H:	There's a young man from here named Chip Caffey.							
H:	He has had productions during the time of the Black Arts Festival, and he lives in New York.							
H:	And everything he does is out of New York, not over here.							
W:	So, the church that you went to as a child is still standing.							
W:	Do you still attend that church?							
H:	From time to time.							
H:	They might ask me to come over and speak on a program or something like that.							
H:	I'm a member of a church called Williams Temple Church of God and Christ.							
H:	And this is my home church, as far as the church I grew up in.							
H:	So, when they ask me to do something, I do it, because of the roots anyway.							
H:	My grandmother lived here; I lived here with my grandmother, and it was convenient for her.							
H:	So, she made us go to church, and that's where we went to church.							
H:	And we became connected to that church.							
W:	So religion and faith was very important growing up?							
H:	Mmhm.							
H:	In her house, you had to serve the Lord.							
W:	So, I was wondering if I could ask you a question: when Obama was elected in 2008, what were your thoughts on that?							
W:	Was that something you ever imagined happening when you were growing up?							
H:	You know what?							
H:	I used to tell people this: one day, a Black man will be President.							
H:	You know, so it didn't shock me.							
H:	Even when I found out that Obama was running for president, I felt like he would win and it was his time.							
H:	It was just our time to have a Black president.							
H:	And a lot of people are saying now, "I just had no idea that it would happen in my lifetime.							
