	speaker	Text	Multiple Negation	Multiple Negators
100	F: %MN	The things that we had to do; we didn’t have no swimming pool.	1	1
101	F:	Oh; I don't see them .	0	0
102	F:	But I never really joined; formally joined anything.	0	0
103	F: %MN	Ain't nothing I can prove now; it's just what I heard.	1	1
104	F:	I can't think of his name.	0	0
105	F: %MN	I don't know nothing about that.	1	1
106	F:	So you see; we had no professors; we had no clerical persons; no one on football or basketball; we were it.	0	0
107	F:	I mean just; you know; and like I said; a lot of the stuff that we did; we used covert tactics so if something went down I mean people wouldn't even know who did it; what happened.	0	0
108	F:	People don't tend to know their neighbors; certainly a neighbor is not going to put their hand on a child.	0	0
109	F: %MN	But we didn’t have no ride.	1	1
110	F: %MN	And I remember getting a present from every teacher in school; and I remember I didn't have to buy no invitations.	1	1
111	F:	We lived down there with Theo ___________ And then I lived right up there so you didn't have far to go.	0	0
112	F: %MN	I wasn't going to eat nobody else's cooking.	1	1
113	F:	He didn't want to buy it; but the man told him; yeah; you ought to buy him a bicycle.	0	0
114	F:	And so it was such a mess that the university unofficially said that there could be no more black events on-campus.	0	0
115	F:	My mom didn't have any money to send me to college and I figured I could go to the WAX	0	0
116	F:	"""No, she didn’t remember that."""	0	0
117	F:	With her not being familiar with the extension service; I had to train her; but still she was over me.	0	0
118	F:	Didn't do the little boy.	0	0
119	F:	My eight year old granddaughter can get on the internet faster than anybody I've ever seen; and I can't even do that.	0	0
120	F:	Learn what this instructor wants; because it's not even about you; it's about what that teacher wants.	0	0
121	F:	Put them in church; and if they don't go  I took them.	0	0
122	F: %MN	I wasn't going to eat nobody else's cooking.	1	1
123	F: %MN	But ain't nobody; believe it or not; is a kin of her except Rally Johnson.	1	1
124	F:	"""No, I never did."""	0	0
125	F: %MN	Ain't nothing I can prove now; it's just what I heard.	1	1
126	F: %MN	No; it ain't there no more.	1	1
127	F:	Missus Dutten's house wasn't there.	0	0
128	F:	But I didn’t know that there was a difference; and she didn’t know that I was different from her.	0	0
129	F:	You didn’t make me feel uncomfortable; you know; with the emotions that I did encounter so I am grateful.	0	0
130	F: %MN	I laid down on the ground; and when I turned around; I said; I am not going to put my hands on no more tobacco.	1	1
131	F: %MN	Mister Hart wouldn’t cheat nothing.	1	1
132	F:	And when I started talking to my counterparts and they were saying things like; we'll never win.	0	0
133	F:	So we weren't just in Gainesville.	0	0
134	F: %MN	And I don't remember no kind of bad stuff.	1	1
135	F: %MN	So we were didn't want for nothing.	1	1
136	F:	The first male; maybe; I’m not sure.	0	0
137	F:	During my years; we didn't have a band at our school.	0	0
138	F:	Mamma wouldn't let me go!	0	0
139	F:	Next time; I say; I'ma get married; I promised a lot of times that I was gon get married; but I never did because I didn't intend too.	0	0
140	F:	But they naturally don't want him in there.	0	0
141	F:	No; it was not.	0	0
142	F:	"""Well, we went a long time and didn’t have a school."""	0	0
143	F:	At lot of people here actually looked to me to find social avenues; because there was none for Black people at the University of Florida.	0	0
144	F:	So you say you don't want to mention the Juke Joints but did you have any Juke Joints in the area for African Americans?	0	0
145	F:	They didn't make it.	0	0
146	F: %MN	you couldn't get nothing but second hand stuff.	1	1
147	F:	"""Oh, no no no."""	0	0
148	F:	It was still largely among attitude that- and so that's so our first things was  would get everything in writing; you know; don't be so trusting.	0	0
149	F:	I didn't want to call it a Juke Joint and I just wanted to remember it.	0	0
150	F:	And you know in that time when I come up; they did not spend a lot on you.	0	0
151	F: %MN	I said I only go to church; I don't go no place.	1	1
152	F:	Yeah well early on- I guess about that first time we tried to kind of advise undergrads- our stance was to not to believe or trust anything that they were told at any time; you know.	0	0
153	F:	"""And her answer was , “Well, I mean that we don’t do colored people’ laundry. ”"""	0	0
154	F:	No; I'm  no; I'm cool.	0	0
