	Speaker	Text	Person/num. agreement	personNumberAgreement
41	F:	Do you have brothers or sisters?	0	0
42	F: %PN	So giving your experience here at UF, what is some advice you would give to students who are coming into college or students who are in college but don't have a clear direction of what do or how to get involved?	0	1
43	F:	We weren't supposed to be in Cambodia correct?	0	0
44	F:	I think one of the things, when we were preparing for this interview, you talked about faith and in that you talked about how your parents teaching you about things and other things in life how like you knew what they were saying but you couldn't foresee a lot of the things they were talking about.	0	0
45	F:	I'm a tell you straight up when I was in Vietnam, I didn't feel like there was White or Black.	0	0
46	F:	They don't learn that much so if I don't have all of these nice bright children in here, I don't get merit pay and that's disgraceful.	0	0
47	F:	The wanted to make sure that same people that checked in in the morning checked out in the afternoon, unless somebody got sick and they parents came and got them, something like that.	0	0
48	F:	She was on the way when she had just walked in.	0	0
49	F:	[Oh it made me feel sad, because I just, I felt we was losing something.]	1	0
50	F:	I think it was, there were older guys even when I was young, but I recall five brothers.	0	0
51	F:	She said, 'Have you seen this-- they'll tell who meant a lot to you and did a lot for you?'	0	0
52	F:	I'm pretty sure it was passed on from one person to the other, you know, once people heard it.	0	0
53	F:	We didn't bring a covered dish.	0	0
54	F:	They brought the bricks from Alabama to build that house because they have clay , and bricks are cheaper than wood, but it's a pretty brick home.	0	0
55	F:	They just read and kind of gave that insight of what they read, but as far as teaching like as is today we have come from a long ways.	0	0
56	F:	If we took a bath it was in streams.	0	0
57	F:	Yeah he was cute.	0	0
58	F:	Yeah, that was in Fort Jackson, so that was up in 1967.	0	0
59	F:	As long as it's an assessed risk, it's worth taking.	0	0
60	F:	Well that was the way of life back during the day so you really didn't feel anything different.	0	0
61	F:	Okay so what is NESBI ?	0	0
62	F:	They had trained some people to be a pharmacy technician in hopes of hiring them , because they had free labor , and they had trained this young man.	0	0
63	F:	So, they discontinued my treatments to try to help me with that problem.	0	0
64	F:	It was.	0	0
65	F:	So I was, like, exempt .	0	0
66	F:	"""Today we were in there talking and one of the guys was asking me, What ever happened to your daughter that was in pharmacy school?"""""""""""	0	0
67	F: %PN	Now , people that was in more of a secure area, then they could go in to Saigon and places like that.	1	1
68	F:	As a matter of fact, when I went to the school, it wasn't just talking about Vietnam , it was talking about how it was in the 50s and 60s, which I talked about , the Colored bathroom and the White bathroom, which they knew nothing about that.	0	0
69	F:	But is that something that you drew from Jerkins, that you felt like your parents and your teachers, that collaboration between parents and teachers and your classmates, that you kinda fueled each other in that?	0	0
70	F: %PN	[Is that something that here with the schools being segregated and things being different did everybody here know you know who the White people in the community were and did the White people know who the Black people were?]	0	1
71	F:	[That's where we were holding our picket sympathy.]	0	0
72	F:	[Well you know when people talk about Florida they talk about Disney World, they talk about low taxes, and a lot of jobs and stuff this not something that you know people in my generation really know about.]	0	0
73	F:	It always a ppeared whenever he's going to--see, my father was a cook --to can peaches it would be my week to wash dishes.	0	0
74	F:	I don't know if I want to tell this.	0	0
75	F: %PN	What do you think about the difference between film and this electronic thing I'm going now ?	0	1
76	F:	[Because heart disease is very prevalent in the family, as it is in many African American families.]	0	0
77	F:	Just being proactive and providing a channel of distribution, voice, and most importantly truth, that may or may not have been muted by those individuals.	0	0
78	F:	So knowing this history about UF, and you mentioned the Gainesville area as well, in Florida in general, did you learn this information prior to coming to UF or during your time at UF?	0	0
79	F:	So, I mean, I wasn't really feeling bad --wait a minute, back me up.	0	0
80	F: %PN	It was Ms. Thompson with a P. I'm Thomson without a P	0	1
81	F:	Her name was Annie Jean Scott.	0	0
82	F:	Her name was Evelyn Hayes at the time; she's Evelyn Williams now.	0	0
83	F:	Now where they built here in town this new -- where the hospice is and some business offices -- that used to be where Vogel's Market was.	0	0
84	F:	but I don't have that many dishes	0	0
85	F:	And that sounds like something that you would learn in high school, which is where we are.	0	0
86	F:	[The first time I ever received a leadership position was on the football field.]	0	0
87	F: %PN	So that concludes the questions that's I have for you today, is there anything you would like to add to this interview about yourself, about your family, your experiences, any other opinions regarding these commissions or anything?	0	1
88	F:	"That's such a great thing to be able to look back at your career and say, ""I did what I intended to do.”"	0	0
89	F:	This systematic oppression by institutions really set the precedence that we are fighting really hard to break even in present day America.	0	0
90	F:	Well, you may recall at our historical when we had the last one two years ago when we planted the historical marker we asked the community to help us raise about $30,000 so we could waterproof the entranceway to the facility and then started to build bathroom facilities onto the old cafeteria.	0	0
91	F:	Well that was to help me, with my piano and with his reading, spelling or his understanding or whatnot .	0	0
92	F:	"""Efforts show I was a better teacher for this one in here,” and I think that's what is a big difference too and that's I"	0	0
93	F:	Okay, what was her date of birth?	0	0
94	F:	but he wasn't interested in going to college.	0	0
95	F:	[What was the reaction?]	0	0
96	F:	Was there - being the mayor, was there anything that you'd go back and look on and reflect on, and anything you would change?	0	0
97	F:	You lived in a community where the students were going to schools in two different counties because Johnson is in Putnam County isn't it?	0	0
98	F:	[Very few neighborhoods had mixture; were integrated.]	0	0
99	F: %PN	and I feel like understanding what's going on and the issues that are presenting themselves in present day and the past is really key in being a part of the change in your country.	0	1
100	F:	Where were you when you heard the President got killed?	0	0
101	F:	"She said , ""Yes so you teaching history?”"	0	0
102	F:	This has been fascinating.	0	0
103	F:	Going back to your family, you mentioned your parents, did they have any other children?	0	0
104	F: %PN	[What was the fame and fortune attraction, or lure?]	0	1
105	F:	And after those two years that I served as the vice mayor in his absence, the election came up	0	0
106	F: %PN	So there's a huge age gap, here I'm the mayor and the next youngest guy is old enough to be my dad on the council.	0	1
107	F:	And that was where I experienced it.	0	0
108	F:	Well, when that happened, then somewhere, I don't remember what year they built this building, and we ended up here.	0	0
109	F: %PN	And there was ways that I handled a lot of things because if it was bothering me--I still like to be around people.	1	1
110	F: %PN	I just wish that the government, when they draft people or people volunteer for Service, that they would recognize people when they come back and have a problem, instead of putting them --or them being discharged, and leaving them.	0	1
111	F:	But I wanted to share it with you because I did want that to go down in history.	0	0
112	F:	So paying for daycare was not an option because at the rate of income it wouldn't necessarily be beneficial at all.	0	0
113	F:	I know you talked about government corruption, is there anything specific that you can tell me about?	0	0
114	F:	[Now we have a legacy of segregated education in this country.]	0	0
115	F:	That was that night at the library.	0	0
116	F:	I've been told by people that I've had the honor to interview that the way classes were taught in this area were different than what we're used to.	0	0
117	F:	I did take up woodworking while I was there; enjoyed that.	0	0
118	F:	My granddaddy, my grandmother was a Speed before she married.	0	0
119	F: %PN	So I started working on a degree in management , and I guess I got about half of the required hours for that , but my nerves was picking up.	1	1
120	F:	Yeah, she was by a ex -girlfriend.	0	0
121	F:	and he would mess up so many dishes.	0	0
122	F:	Okay, that was education, now.	0	0
123	F:	I was just praying to myself that I hope all the enemy down there is dead and nobody's gonna shoot me while--which they were dead, dead or either they had backed off.	0	0
124	F:	So therefore, I wasn't afraid.	0	0
125	F:	[Momma was born in probably in 1920 and daddy was probably born in the 1800s sometime because he was probably thirty years or better older than Momma.]	0	0
126	F: %PN	Does your family, your children from your first marriage, your wife's daughter , and then the children from this woman you didn't marry, do you all get together, is there any kind of extended family?	0	1
127	F:	[The mother, the grandmother, was Maggie Del Nelson McCullum.]	0	0
128	F:	So your family has a long history in Gainesville?	0	0
129	F:	That scored a deep hole and pushed them --that was by the road.	0	0
130	F:	[I was in it before.]	0	0
131	F:	I tried to make the best of what was presented to me.	0	0
132	F: %PN	I don't know, I'm sure there were plenty of 'em.	0	1
133	F:	He was a kidney patient for a long time , but he still worked a long time and taking dialysis treatments.	0	0
134	F:	I was classified as where they say I wasn't going to be called , because of married and two kids.	0	0
135	F:	I said, 'Well, you know now what it was.'	0	0
136	F:	We had those old duplicator machines and, in fact, when I was in the sixth grade, the first time I saw it I thought this was, magic.	0	0
137	F:	She was satisfied.	0	0
138	F:	Mildred Jackson, his dad died when he was only six months old.	0	0
139	F:	In my role in leadership, the one thing that I always . Because it was in my county, I said I grew up in Broward County in education, because that's where I went to teach.	0	0
140	F:	And so, in my VOE I had English, I had three books in one and two in the other.	0	0
141	F:	[What was that principal's name?]	0	0
142	F:	Have dinner with your family, which is something that so many families don't do.	0	0
143	F:	That was -- when was that?	0	0
144	F:	That's probably good for this session.	0	0
145	F:	It was when we went downtown or when we got away from our area.	0	0
146	F: %PN	Our youth department, which was my mom - my mom was the youth director for all of my years growing up, until I got grown, she finally stepped down and let somebody else do it.	0	1
147	F:	When we left for school, going to Lincoln school, she was home.	0	0
148	F:	[My dad was George W Taylor, born in Norristown, PA Date of birth was 1901.]	0	0
149	F:	Thank you, Dr. McCloud, for taking the time for this fantastic weekend to speak with us on camera.	0	0
150	F: %PN	Well basically all the businesses was owned by the Whites.	1	1
151	F: %PN	We was taught that from babies.	1	1
152	F: %PN	'Course, during that time, they, in 1966, they was probably only like, maybe four and five, or four and three.	1	1
153	F:	And I came home from school one day-- now this hadn't been too long ago, I taught at Bell you know, six years	0	0
154	F:	I was young, I was having a good time.	0	0
155	F:	How were like, the chores and the responsibilities dived up in the household?	0	0
156	F:	[I applaud what you are doing, I champion what you are doing, thank you for what you are doing because you are helping to leave footprints for somebody to check a hundred years from now when you and I will not be around, but because we are here and we are doing what we have just done, somebody will get the story.]	0	0
157	F:	But when was the first time that you lost somebody who was really close, and what kind of happened?	0	0
158	F: %PN	We wanted to show we was better than that.	1	1
159	F:	[My dad's family, I don't know that much about them, but my father's father--my grandfather--was a Caucasian from what they called the Dutch country, which actually was German people, living in Pennsylvania.]	0	0
160	F: %PN	Speaking of home, what are the main themes of this reunion and the activities of the Taylor County Leadership Council is to strengthen the communities here at home in Taylor County.	0	1
161	F:	And I think we are in the process of doing that.	0	0
162	F:	I don't know what it is.	0	0
163	F:	It was not like throwing some clothes in the washing machine now.	0	0
164	F:	Did they say it was an accident or they just don't know?	0	0
165	F: %PN	That everybody within your arena see that as their vision, their mission and that they themselves become an integral part of reaching that goal and to do the intellectual internalizing, if you will, of all the parts that it take to get there.	0	1
166	F:	[Well, if you would act out of character or cut up, she would remind you that it would be easier to get to the prison system and become a--than it would to become anything else.]	0	0
167	F:	That's paganism.	0	0
168	F:	That was the first incident where I just --I mean, it was very fearful, not knowing whether we going come out alive.	0	0
169	F:	"""So I told, I said to her, Ms.Jones I just cannot get out there and play this."""""""	0	0
170	F:	I was.	0	0
171	F:	And so they flew us out there to kinda like take over that area patrolling.	0	0
172	F:	That was in 1960.	0	0
173	F:	[And when and where were they born?]	0	0
174	F:	[Well leadership is respect and it's respect.]	0	0
175	F:	I'm sure they bent your ear well, but it's all done in love and the bottom line is we really appreciate you taking the time to do it.	0	0
176	F:	The committee furnished the food.	0	0
177	F:	"I said , ""Well, that was part of my income.”"	0	0
178	F:	Well a lot of fathers, well they go and drink up and get mad, wanna fight, well they done built up pressure on them from the racist society sometimes.	0	0
179	F:	So, then, when it was time for school to start up again we would come back and come back to school.	0	0
180	F: %PN	Well to me , and Ima speak about a couple places that I spoke, seemed like to me the education-- back in the day seemed like it was more hardcore, and --not the term they used--but really the teachers push you to learn , to do better, to progress.	0	1
181	F:	yeah, my junior year, one of my friends broke his leg playing soccer ball here at Jerkins.	0	0
182	F:	And when I get off of work at five o'clock the traffic is so heavy I can't get to the school until six o'clock.	0	0
183	F:	I was born May 25th, 1974, at University of Florida Shands Hospital in Gainesville.	0	0
184	F:	[What are your impressions on how the schools changed, from the closing of Jerkins, the closing of Black schools in the state of Florida and moving toward integration?]	0	0
185	F:	For those they thought were going to go to college, the proctor put them in geometry.	0	0
186	F:	What other businesses and what families were associated with them?	0	0
187	F:	But a lot of them who didn't care, the children were trying to do fairly well you know?	0	0
188	F:	[And what is your date and place of birth?]	0	0
189	F:	But he was interested in education.	0	0
190	F:	Because Isaiah Branton is from over that way.	0	0
191	F:	We will be going to the county and the city saying that, Look, we're bring all these people in, so we want to do something to this facility to make it more comfortable.	0	0
192	F:	Why was everybody so crazy about it?	0	0
193	F:	And then sometimes I was listening to the preacher, I always listened to the preacher, but whenever they made and error I remembered it.	0	0
194	F:	As a matter of fact he was the only Black so that had to be in the 20s .	0	0
195	F:	[No, that was Finch V]	0	0
196	F:	[Someone said that those are the criteria and formula for leadership.]	0	0
197	F:	And that was me.	0	0
198	F:	[Now that you are you're you know, reached the age that you have reached and you've had a chance to reflect on your life and the things that've happened here in a Taylor County where you grew up, what is it that you really liked about growing up here?]	0	0
199	F:	They were living there when we built this house.	0	0
200	F:	What was the reason they sent you all out there?	0	0
201	F:	I was trained for mortars , but I was also trained as a infantry man.	0	0
202	F:	"I said, ""Well the superintendent's office is gonna know about it and this would be a part of his record .”"	0	0
203	F:	I think I paved the way, one thing that I always tried to, in whatever I do is be that – be a bridge builder.	0	0
204	F:	We've always been impressed in this partnership and thank you for allowing us to be a part of it.	0	0
205	F:	That was your job?	0	0
206	F:	[And, so, she really put the fear in our heart for wanting to be a prisoner.]	0	0
207	F:	"It was not a outhouse, a real bathroom, but on one door says ""Colored,” and one door says ""White.”"	0	0
208	F:	It is a Jerkins family reunion.	0	0
209	F:	This is magic!	0	0
210	F: %PN	When you get to be about seventy years old man, hey, ain't gonna be too many of them left and it just brings back memories and sometimes when you're around the people, you be friends with certain people, I like to go back and find out what their birth sign is and make my own observation of the behavior or the characteristics of people.	0	1
211	F:	Which, I must say I had some good times when I was in Japan.	0	0
212	F:	My homeroom teacher who lived across the street over here, she was Ms. Laura Williams when she was teaching me, but she married again and I can't remember what her last name is now, but she's still alive.	0	0
213	F:	[He was up in another area, my grandfather.]	0	0
214	F: %PN	You was asking me about my daddy' , my grandmomma's, my granddaddy's mom and all that.	1	1
215	F:	We were just married and I lived in an apartment over there and I'd have to cook and fix his dinner and take it to him and he had twenty minutes to eat it.	0	0
216	F:	The reason why we're in the predicament and this captivity we in is because they try and stress against God's law--not because of the so- called White man or any other people.	0	0
217	F:	Is this your grandfather on your mother or your dad's side?	0	0
218	F:	There was an incident that happened here some years ago and it involved .	0	0
219	F: %PN	[When you come to the sum of everything you've done in your life and you think about the contributions that Jerkins has made, do you think that schools changing from segregated to integrated has effected students in a way that has, I don't want to say kept them from achieving as much as you and your brothers and sisters have, but obviously there must be some type difference that many people in your generation that I've spoken to have talked about this distinction in the schools with going from segregated to integrated.]	0	1
220	F:	Sometimes she'll pay your way and invite you in her house and cook you a meal, but a lot of Southern women were more dependent on the man.	0	0
221	F:	Did you ever go to work with him and learn about this process?	0	0
222	F:	We learned plays, we used to play in the Christmas plays each time of the year.	0	0
223	F:	Like I said, just because I was raised that way it feels more of a responsibility, but not in a node way, just a responsibility.	0	0
224	F:	Opposite side of the street from where Vogel's was.	0	0
225	F:	My sister, she followed in footsteps and went to University of Florida.	0	0
226	F:	Because I was in these rural schools and I could get all this attention and my mother was real big on education.	0	0
227	F:	[We talk about things now, but in those days, that generation of people, everything was tight--tight, little, tight, little.]	0	0
228	F:	This is Matletha Fuller, an intern with the Samuel Proctor Oral History Program, in the libraries of the Graham Center at Pugh Hall on the campus at the University of Florida.	0	0
229	F:	The parents got involved and these men were riding around in their trucks with guns in the back of their windshield.	0	0
230	F: %PN	[We was like brothers and sisters.]	1	1
231	F:	And that is your only sibling?	0	0
232	F: %PN	Okay, the conditions was not good.	1	1
233	F:	[She ended up working as an attendant at Norristown State Mental Hospital.]	0	0
234	F:	It was a cocktail of different reasons.	0	0
235	F:	When they could discipline them.	0	0
236	F:	She said if I don't get to tell you anything else, I have to tell you this one story.	0	0
237	F:	Even if it was to survive?	0	0
238	F:	That's really an indictment on the area.	0	0
239	F:	Our grandfather was custodian at Hummer-Floyd College in Eatonville, Florida.	0	0
240	F:	And I understand that you're talking about segregation, but I was trying to get it spoken to in your own words.	0	0
241	F:	There was the time that, for some reason, we got in the wrong area where the United States I think was going to be bombing; we had to hurry up and get out of there.	0	0
242	F:	Times got harder, food prices would rise and my grandma used to do commerce, which is a Haitian work for commerce.	0	0
243	F:	They required like English and Math , and I think one of the electives was literature.	0	0
244	F:	Okay, only here that was not done.	0	0
245	F:	When the oldest one came and moved back here, he became preacher at the Presbyterian Church and he was brought up in the Methodist.	0	0
246	F:	And from that we were able to produce a podcast which we shared with you and appreciate your feedback and participation on that.	0	0
247	F:	[And after that comes Marcel Owena, who is age 63, followed by Rosemary, who is 60.]	0	0
248	F:	And I refused to go on the system, so I worked hard to try to take care of myself.	0	0
249	F: %PN	We was conditioned, that's what I like to call it.	1	1
250	F:	[Walter Bishop, Sedacious Bishop, and Laquacia.]	0	0
251	F:	[What kind of lessons can what you learned here at Jerkins High School play, not only for students today in this community, but for people throughout the country looking for solutions to helping their students do better and helping them go out and be positive leaders and benefit the community and the world?]	0	0
252	F: %PN	So my last nine months in the military was great.	1	1
253	F:	You were going to elaborate.	0	0
254	F:	Education in Madison!	0	0
255	F:	It basically says that you're gifting us this, your oral history, but that doesn't mean that you can't use it.	0	0
256	F:	You weren't going for the environment and the protest and all that stuff?	0	0
257	F:	[Whatever you think it is.]	0	0
258	F:	[There was only one left though, the wife was, everyone else had died and there was one lady.]	0	0
259	F:	What are you involved in from your freshman year to now?	0	0
260	F:	At the time I was nine years old when I made the transition.	0	0
261	F:	They just say what they imagine it was.	0	0
262	F:	Mud is not clear but you can see it .”	0	0
263	F: %PN	And not only that, she would give us a little parties because we wasn't allowed to go to different places and things and she would have little parties for us and the kids was coming to our house just because they knew she was giving a party.	1	1
264	F:	Brought a lawsuit, won the lawsuit, and as a result of the lawsuit, I would say 98 if not 100 percent of all the streets in the African American community has been paved, all have lighting, sewer is in I would say 90 percent of the African American community in Taylor County in the City of Perry, and this park was stated that the government or the courts that you have to build it.	1	0
265	F:	And our company commander, he had to call artillery in which was pretty close to us, because the company that the squadron was almost back to the perimeter, but they didn't quite make it.	0	0
266	F:	But you had registered with the--	0	0
267	F:	I believe you reach through by remaining true to the goal which is restoring peace and bringing forth awareness.	0	0
268	F:	[I still say if the family insists on students doing their best in an integrated or segregated society then you can grow, you can become, you can actualize.]	0	0
269	F:	I don't know if she's still alive, but she worked, you know, she was over them, and she would come, but I really wanted to get it documented, you know, how my mother was hired.	0	0
270	F:	[Everybody is like doing their own thing.]	0	0
271	F:	See today, we are not free.	0	0
272	F: %PN	H. Mack L. Grady ran this town and he wouldn't let any kind of business come here.	0	1
273	F:	[She was living with me in Hawaii.]	0	0
274	F:	I was working that day when I heard it over the radio.	0	0
275	F:	They come on a mobile home, a motor home at least, and they are housed at the parking lot down at the K-Mart.	0	0
276	F: %PN	How can awareness be brought to people who do not want to address or learn about the truth they have thrown to the side?	0	1
277	F:	and then when you turned the corner, there was Ms. Summers down there with the great big nice store.	0	0
278	F:	[My Momma was born around the Ocala area and my daddy was born in Greensville.]	0	0
279	F: %PN	[So we didn't really know who it was because they was covered in sheets and hoods.]	1	1
280	F:	And then, there was a station right there by where the cat was found-- you know, my cat -- there was a filling station right there and this man, I don't know.	0	0
281	F:	See, not that I wanted to leave Jerkins, but it was time for me to move on with my life and try something new and different, which I did.	0	0
282	F: %PN	When I left in 68, the streets was fine.	1	1
283	F: %PN	It was a fabulous high school for all those little towns --bunch of little towns that was about nine miles from Lake Ontario.	1	1
284	F:	[I guess they liked me because of my personality and I just was bubbly and loveable, so I guess that's what it was and they elected me as president.]	0	0
285	F:	What were you heavy into?	0	0
286	F:	I was only kidding about the recess.	0	0
287	F:	Let's see, I can't remember the-- oh, Caesar Calish.	0	0
288	F:	[That was grade one, I remember that.]	0	0
289	F:	A black and white is black and white.	0	0
290	F:	Has the women's club always been right where it is now?	0	0
291	F: %PN	And when she goes on vacation she don't have to worry about me doing my job, but thank God that's not the way it is now.	0	1
292	F:	and I talked, and I guess I don't want to tell this story before I get to talking about Vietnam unless you want me to talk into it now , but I had to tell them how I lived in Vietnam.	0	0
293	F:	It was, I believe, Huntsville, Alabama.	0	0
294	F:	And, all week this guy would sit there with a dictionary in front of him and try to find the longest words, the hardest words he could in the dictionary, and he would learn how to spell 'em, and he would get the meaning, and he would call us down.	0	0
295	F:	So, if I came to school and messed up, well, I was depending on that my mom was working.	0	0
296	F:	And what is your wife's name?	0	0
297	F:	Because it has taken me on a lot of arenas that I wouldn't have gone in, had not it been for Jerkins High School.	0	0
298	F:	In between, I was in Jacksonville.	0	0
299	F:	"And the way people try to hold you back from your raise and what, she would say , ""Well, I can't give you all seven because ,” whatever the situation is ."	0	0
300	F:	Now another difference, I think --and this is going on the basis of this merit pay type of thing too--achievement is hard to get measured.	0	0
301	F:	I cleaned the kitchen up one week, my older brother cleaned the kitchen a week, but my younger brother he was too little to clean the kitchen.	0	0
302	F:	And they were the stars of the football team here, too.	0	0
303	F:	Mostly, we had labors working in the field, a lot of field work or called share croppers.	0	0
304	F:	So that's how this kinda thing started.	0	0
305	F:	My sister was married in the church, had a wedding there, and I was married in the church.	0	0
306	F:	Hazel Armbrister?	0	0
307	F:	Did you ever make friends or establish contact with the people you were there to help, for example?	0	0
308	F: %PN	[Do you think that the nature of the schools going from segregation and integration was such that Blacks students lost something?]	0	1
309	F:	She helped me with Bonnie and helped me -- I had two people and they cooked and did the housework while I took care of Bonnie.	0	0
310	F:	We had a really good football team and I was looking forward to going on to Florida A&M to play ball, but I got injured, not my senior year, but .	0	0
311	F:	[I'm the diaper changing, I helped take care of them.]	0	0
312	F:	[I ask you because you know leadership is such a complex issue for people.]	0	0
313	F: %PN	Our equipment in our science labs and stuff was hand-me-down equipment.	0	1
314	F:	It gave us an arena to perform in.	0	0
315	F:	I was living in when I was first married.	0	0
316	F:	My brother lives out of Atlanta, and my sister resides in Gainesville.	0	0
317	F:	You talk about a shotgun wedding, you knock up one of them Madison girls at that time you'd be in trouble!	0	0
318	F:	He was just talking at a normal level, you know ?	0	0
319	F:	She wouldn' t even let us wash dishes.	0	0
320	F:	So you couldn't see them, like we're having this conversation.	0	0
321	F:	Because oftentimes teachers never see the finished product; they just see what comes through their class.	0	0
322	F:	He is going to share with me some of his personal experiences at the University of Florida, his experiences in stories told to him by his parents and grandparents about his hometown in Haiti and the comparisons of the truth and reconciliation movements to those in Haiti and here in the U.S., specifically here in Gainesville, Florida.	0	0
323	F:	[Well it was all over you know all over the state.]	0	0
324	F:	If you can think of a school that you remember that was the rival of the Central Academy, your team would really rise up and the school would rise up for the challenge, who were those schools; your challengers?	0	0
325	F:	"So when they went over, they said, ""Well okay, we got to go to other places.”"	0	0
326	F:	So, and the thing of it too was she had fallen out , but the teachers knew she had asthma, they should look out for her.	0	0
327	F:	[And there's a story that in Annie Roberts, who was a mid-wife delivered Black and White babies in Jefferson County and Leon County and that was my grandmother on my mother's side, so we were all attracted to science and medicine.]	0	0
328	F:	Last year I talked to a couple of people, one of them being a politician the guy was running he said, one of the greatest exports of Taylor County is its children.	0	0
329	F:	I was very fond of it.	0	0
330	F:	[And he was a disabled vet.]	0	0
331	F:	This is digital.	0	0
332	F:	I know where that is.	0	0
333	F:	Now, if my name was on that record, you could do something but you don't want my name on that record because you don't want to have to carry me to court and the court may give the child to me.	0	0
334	F: %PN	[In building leaders and seeing leadership come from this heritage of the educational base in the community, do you have a definition of leadership and what would that be?]	0	1
335	F:	"""And this little kid looked at me and goes, Your daughter is a pharmacist?"""""""""""	0	0
336	F:	[Talked to me about, yes because I was a child I didn't they tried to keep everything from us you know so, so we wouldn't be afraid and in fact everybody would be back in hiding when night comes.]	0	0
337	F:	But we never told them that they had to do this or they had to do that , they just assumed since we were educators that they had to be educators too.	0	0
338	F:	You were talking about D .C. got hit.	0	0
339	F:	Do you remember what kind of--I mean, was it all just straight-up mathematics and arithmetic and reading or stuff, or were there other lessons, you know, like--?	0	0
340	F:	[Now how about your mother, is she still with you?]	0	0
341	F: %PN	With how much surprise and accomplishment comes through struggle, as I was listening to you and reflecting on this weekend, I thought about the place that we're sitting right now, the nature of this particular park-	0	1
342	F: %PN	[Our class was a very class, about thirty in our class, about fifty graduated, and we was real close.]	1	1
343	F:	It was the first store on the right hand side going into Main Street.	0	0
344	F:	So they sent me to the Department of Social Studies to be the typist for the head.	0	0
345	F:	[He was an attorney, yes.]	0	0
346	F:	but I don't remember who the postmaster was.	0	0
347	F:	I was.	0	0
348	F:	We wanted you to play basketball if you wanted to, volleyball if you wanted to, football if you wanted to, play a sport if you wanted to and we were getting there	0	0
349	F:	[You might recall on the night that President Obama won the presidency, the man that came forward and apologized for hitting Congressmen John Lewis also apologized for the way he had treated Black students at a small college in South Carolina, that was Friendship Junior College, our college.]	0	0
350	F: %PN	I don't think he was trying to make a man out of us , cause we was already a man.	1	1
351	F: %PN	And at the time we was young, never been away from home before in our lives or whatever, but we wasn't afraid.	1	1
352	F:	So, as I understand it, Taylor County Leadership got a grant and at that time they renovated the cafeteria, re-roofed it, and put it into the condition that you see it is today.	0	0
353	F:	We are non- profit.	0	0
354	F:	Ultimately my main factor for choosing any University was convenience, location, just tuition, scholarship availability.	0	0
355	F:	[In fact we wanted to climb, and that's the thing it started at home it was reinforced at Jerkins, it was reinforced in the churches that we were attending, so it represented a community forum of everybody working to become better.]	0	0
356	F:	But my hair was teenagery then, I always had long hair.	0	0
357	F:	I don't have a dishwasher	0	0
